Bedrooms,Bathrooms,Area_sqft,Location_Score,Age_years,Price
1,1,2412,3,38,474700
4,3,2924,6,40,800371
2,3,1695,3,23,463635
4,1,1752,6,25,568725
5,3,3345,4,24,916739
4,3,2148,7,19,746196
3,1,2464,10,39,705989
5,2,3891,1,40,880647
2,3,3677,1,41,730038
3,1,1350,5,43,442475
4,3,1582,9,1,723610
5,3,3271,5,41,876225
2,1,827,4,34,307778
3,3,2643,8,32,782111
2,3,2577,5,16,666359
4,3,2664,1,21,671196
2,2,2208,7,0,618421
1,2,611,4,36,251079
3,3,2122,10,29,748183
2,1,1291,5,45,376157
4,3,2339,6,5,770238
4,3,2125,7,40,709108
2,2,669,2,13,282283
4,2,2755,1,35,672488
5,2,2848,3,32,755853
5,3,3723,10,37,1056750
5,3,2172,1,38,657032
1,1,1228,4,5,329048
2,3,3930,6,25,857610
1,3,1887,5,23,517459
4,2,1505,4,32,533563
1,2,2950,7,7,672676
4,2,3584,6,43,862979
4,2,1175,3,42,441038
3,2,3202,9,33,823582
5,1,2772,5,33,748175
4,1,3941,10,23,1010553
3,1,2620,1,1,590610
5,2,1458,6,7,623040
4,2,1344,5,24,525583
4,2,3127,10,29,914825
1,1,2779,8,31,637938
1,2,3673,4,29,719310
5,1,714,1,6,389627
4,2,1080,2,47,420379
2,3,1580,8,23,552554
1,1,1624,10,8,501933
5,3,2978,8,15,930105
4,1,2200,5,1,641569
4,2,1541,6,34,580915
2,2,1554,2,33,407706
5,3,2260,9,21,829578
4,2,1367,6,18,585872
1,1,3038,9,48,677902
2,2,1433,10,20,549377
5,2,2790,3,11,781881
2,1,2975,6,10,703476
1,3,2381,10,18,677619
5,3,1227,5,5,618145
2,2,976,9,41,465015
3,1,689,10,13,481560
1,3,3455,1,32,632052
1,3,1620,9,46,534997
1,2,1665,5,37,414591
3,1,2570,1,12,568669
3,3,1658,10,25,679736
4,2,3659,8,13,970803
2,2,2117,7,44,572471
4,2,3200,6,23,823745
2,2,723,2,47,272893
3,3,2704,5,0,740616
3,1,3453,3,45,706169
4,2,2079,2,44,576862
5,2,2882,10,29,915381
4,3,3255,1,9,769551
2,2,3039,9,9,785399
4,2,2115,2,27,604778
1,1,3617,1,3,631988
2,2,2454,7,13,640386
2,3,1966,9,11,669322
5,1,3847,6,37,941301
3,3,651,8,46,462116
2,1,2173,7,36,577810
3,1,2101,9,9,652730
4,2,3136,7,40,827415
1,2,2652,6,26,594183
5,2,1231,1,41,482613
3,3,2461,9,11,773686
2,2,1832,10,21,628642
3,2,2864,5,3,731756
2,1,2647,2,28,523450
3,2,1135,8,35,510594
2,2,3385,4,44,716323
4,2,1329,3,13,511130
2,2,3882,1,11,731961
2,1,3697,5,44,721228
1,2,1875,3,19,418613
2,1,2650,4,44,576567
1,3,3673,9,22,845591
5,2,1625,7,21,671896
1,2,2797,5,33,609557
4,2,2651,8,20,801357
1,1,2120,6,8,517088
5,2,2494,10,9,892158
4,2,1067,2,48,423039
3,3,2717,7,9,764197
3,1,800,1,44,270064
1,1,907,3,29,266524
1,3,3923,1,32,727645
5,1,3958,1,1,901679
5,2,2645,5,48,778289
2,2,1521,6,31,481142
5,3,2939,3,44,810138
2,1,3825,3,16,733392
4,1,3571,3,27,782534
1,1,3804,1,44,642109
4,3,1482,5,16,607949
5,2,1185,1,13,488231
4,3,3945,10,9,1089050
4,2,2320,10,33,785532
4,3,1108,3,13,516618
5,2,604,6,16,495636
4,1,2940,6,36,737158
2,1,959,3,21,311885
5,1,813,9,17,554170
4,3,2059,8,34,714597
5,3,3686,3,47,910413
3,3,3944,5,17,934406
2,1,1162,5,29,371802
4,2,3412,5,36,821318
3,1,644,3,39,283877
3,1,3350,5,5,767841
5,2,1233,5,14,584563
3,2,2035,4,34,542209
2,2,1810,4,25,472436
2,2,2349,2,40,521028
1,1,3308,9,26,723355
2,3,3841,7,29,880192
3,1,3368,1,10,693963
2,2,1193,5,23,407592
5,3,2024,2,13,670523
1,3,2893,10,22,748246
3,1,2526,6,8,669619
1,1,1456,7,41,386627
3,1,2492,2,46,530844
5,3,1151,6,17,629704
1,3,642,3,38,247950
4,3,3488,9,18,965612
3,2,778,4,4,417098
4,2,2080,3,17,626040
1,1,3182,3,32,585711
4,3,1206,2,43,467400
4,1,1271,9,37,582083
1,3,3915,8,12,869796
5,1,1526,5,48,568430
4,2,616,9,8,517424
4,3,1735,2,25,574338
5,2,2238,6,0,768528
4,3,3473,7,11,958293
4,1,3194,6,23,809877
4,3,1653,3,0,614917
2,2,1815,10,3,617662
5,3,3084,10,6,1009803
4,1,2826,10,27,830161
5,3,1215,9,36,646292
3,2,3324,8,4,861949
3,1,3281,8,38,802832
4,2,3805,8,31,939965
5,3,3449,9,48,980777
5,2,911,1,30,437354
5,3,2672,8,43,868232
2,1,3018,2,14,591405
3,2,1124,4,2,452662
5,2,3990,1,48,880995
5,3,2877,6,45,856254
2,2,3773,10,46,891183
2,2,2073,1,46,452681
5,1,3025,5,14,807872
1,3,1487,9,42,489299
5,3,2524,1,17,731256
5,1,3874,9,20,1006046
2,1,3938,4,9,801907
2,3,2607,3,20,612931
5,1,1061,8,25,558893
5,1,3012,6,40,810027
5,1,2751,7,2,819810
2,3,3782,9,0,949368
5,1,1027,5,20,507571
5,2,1068,2,10,487492
4,2,1614,3,15,534729
1,3,2204,3,34,476889
3,1,1469,4,20,468211
1,2,3417,10,40,778341
4,3,3327,7,10,921826
3,2,3452,10,30,910046
5,1,1485,6,48,580058
4,3,3208,3,0,831160
5,2,1873,7,40,686400
2,3,930,4,31,398116
4,2,2555,10,2,825032
2,2,1186,8,31,486583
4,1,800,7,41,433937
4,1,1053,7,4,514933
2,2,1425,9,42,522184
3,3,710,8,36,460730
1,3,3511,1,11,686536
5,1,1507,7,13,645044
4,2,2372,3,43,624510
5,1,2167,4,8,677492
2,2,1832,6,6,560681
5,2,2680,5,15,795540
2,1,1154,8,27,420537
5,3,2503,2,6,733370
1,1,706,5,13,267613
1,2,3936,5,31,750527
1,1,2873,3,7,553132
1,3,3134,10,26,783970
1,3,2826,5,49,632395
1,2,3893,4,2,757459
2,1,1993,5,26,488431
4,3,3284,10,29,959633
5,1,3435,9,33,958472
1,3,766,7,25,373558
2,2,3310,1,36,650987
2,2,2947,3,39,622691
2,1,2004,9,21,604610
4,2,2682,4,31,696167
5,3,3054,4,40,827163
4,2,2125,10,1,774261
3,3,913,6,46,469733
2,3,1415,3,7,459931
3,2,1342,3,41,440411
1,3,3374,9,6,834274
1,3,1425,5,18,437734
4,1,1724,7,32,603537
5,1,1168,5,1,550438
3,1,1838,6,2,561882
5,2,2558,8,27,839436
4,1,3223,8,13,849642
1,3,2709,2,14,563973
5,2,968,9,20,607871
5,2,1991,10,13,780747
1,2,693,6,39,311830
3,2,3631,7,17,859521
1,3,3697,3,48,704023
5,3,2058,4,38,683873
3,1,3792,6,19,859608
3,2,2697,7,0,750553
1,1,3530,6,8,707035
5,3,1363,5,8,644158
4,2,2683,2,42,677757
5,3,2033,7,37,760007
2,1,3960,5,38,776722
4,3,2747,9,28,837365
3,2,3995,4,14,856643
4,2,928,10,19,587868
3,1,1305,2,37,369687
3,2,820,7,40,430104
4,3,2414,7,29,747426
3,3,2461,1,46,566747
3,3,3214,5,25,814827
2,3,1595,3,5,488270
5,1,1621,9,38,673491
5,3,709,9,16,594230
2,1,748,7,5,370050
4,3,3053,9,27,902198
1,1,1298,2,8,301843
1,3,3664,10,26,866657
1,3,2033,8,34,559431
2,1,3800,10,45,867700
2,2,707,10,5,447293
3,2,988,10,3,574260
1,2,1024,1,15,264344
4,1,3094,3,22,737070
4,2,3565,8,47,888125
1,2,1691,8,22,520663
1,1,3737,10,28,831064
1,2,3303,8,40,726711
2,2,2599,7,3,685373
2,2,2263,2,39,498808
2,1,2127,3,39,454551
5,1,2626,9,23,833448
4,2,2968,2,5,742746
4,2,3366,7,39,872676
3,1,2455,1,5,573821
2,2,3375,3,13,718238
5,1,3227,1,13,757395
5,2,1046,6,49,532374
4,1,2197,4,44,614473
2,3,809,1,46,288012
3,3,1448,5,34,518471
2,1,2462,4,5,572062
1,3,3017,10,22,774069
2,2,2564,10,19,737622
1,1,2187,2,16,412760
1,1,2251,7,19,546676
3,2,2516,8,47,704245
4,2,2518,4,5,697592
2,1,1176,9,39,463395
1,2,2265,3,27,479864
2,1,1288,6,12,434004
4,2,1389,7,28,599310
4,1,1591,7,44,562501
5,2,2810,6,19,846826
4,2,1576,9,16,678425
3,3,1955,1,34,515863
1,3,2287,9,44,622415
5,3,949,9,38,609874
3,2,2371,4,36,592524
2,1,3317,5,42,672507
1,2,1025,3,22,300826
4,3,926,7,17,561098
1,2,1729,2,35,365611
2,3,854,8,19,477092
5,3,2637,9,6,917024
5,1,3005,6,35,823733
5,1,2590,9,41,800211
4,3,1043,6,0,585984
3,3,712,3,48,348890
3,2,1653,10,36,634721
1,3,3171,3,48,620406
4,2,1288,2,34,443959
5,3,1590,5,40,646701
5,1,2473,4,2,746351
2,1,645,6,34,300111
2,3,1794,5,28,513667
5,2,3801,6,8,982327
5,2,1356,4,36,573317
4,2,1976,3,41,579611
3,3,1826,1,46,500477
2,3,1849,5,24,562956
3,1,3751,6,11,833007
4,1,3981,5,37,892762
5,3,3706,5,6,991899
3,1,1163,6,6,474600
5,2,2808,4,3,789805
5,2,3487,4,44,856334
1,3,3185,8,46,739312
3,2,2872,8,30,768536
3,3,1940,3,49,525734
5,2,2037,7,49,694081
4,3,694,5,38,469286
1,2,3896,5,9,783891
5,2,2402,3,47,669606
2,1,1548,2,22,364491
2,1,1152,3,25,332760
1,1,3292,7,22,680896
4,1,665,3,28,376744
5,1,3881,2,7,887762
3,1,2097,4,18,553712
1,3,1264,5,28,404242
4,3,3331,7,42,898726
3,1,3557,1,5,736364
2,3,3484,8,28,839050
2,1,3218,10,23,781371
3,3,3343,3,9,774299
1,2,779,6,13,348561
2,3,3481,4,5,780011
5,3,2082,5,3,753518
3,3,3739,10,14,968670
3,2,801,6,36,402782
2,1,2098,2,47,447584
1,3,2141,3,38,463718
5,3,3686,8,27,1006210
1,2,3713,8,1,840625
4,1,3190,1,12,706399
4,3,3629,10,1,1016805
2,2,3421,8,40,777652
2,1,1912,2,31,422764
2,1,2548,10,4,695062
4,3,1293,10,2,666005
1,3,2319,8,1,654070
1,3,1867,10,13,605294
2,3,2391,5,39,601526
5,2,3259,1,43,759141
1,2,2321,8,48,577957
4,3,2221,5,28,678093
3,1,1797,1,47,414769
3,3,2157,4,37,613503
3,1,2132,1,5,517827
5,1,2891,9,49,842924
2,1,2707,10,33,712211
4,2,703,2,7,386921
5,1,3298,8,45,903322
4,1,3974,4,1,915630
4,2,2294,9,25,744383
2,1,1610,2,16,405176
3,1,2367,3,23,568831
2,3,2724,2,30,604027
5,1,1641,10,15,720249
5,1,2157,5,49,638053
5,1,1807,1,20,563667
2,1,2280,3,37,495854
4,1,3952,1,25,809863
4,2,3959,10,16,1041393
1,1,2278,8,49,546099
5,1,3345,4,45,813022
4,2,3593,3,41,810934
1,2,2914,8,3,685027
4,1,1380,9,49,564087
5,1,3256,8,42,892641
3,1,1545,6,47,502101
5,3,3672,3,3,955617
2,3,2430,8,18,693945
4,1,3698,5,37,867178
4,2,1147,5,24,503336
2,1,2807,9,7,707411
2,2,3584,1,17,711877
3,2,3046,7,17,798742
4,2,3190,8,47,852621
4,1,2774,10,6,825801
3,1,2397,3,16,580514
1,2,2480,8,2,649093
3,3,3656,1,21,771600
5,3,1547,8,14,729335
4,3,2857,7,30,838651
2,2,2797,4,35,605429
5,1,630,7,25,470982
4,2,1211,10,47,606244
3,3,2464,7,13,727087
5,1,901,10,16,586220
4,2,3610,1,8,799952
1,2,3512,3,6,698820
1,3,3412,7,45,732780
2,2,1282,5,26,415100
4,1,856,9,27,528093
1,3,1539,7,11,498820
3,3,3728,3,16,825319
4,1,2656,1,8,645353
3,3,3676,5,43,853109
3,2,3494,10,43,874345
1,2,3785,5,7,777142
4,3,1376,7,26,627656
5,1,3332,1,41,774703
1,2,1331,10,11,510365
1,1,1828,2,36,344746
4,2,2671,6,19,742786
4,2,3140,8,0,893592
3,3,2642,4,8,706435
4,3,1569,3,46,524311
3,1,702,3,23,341612
1,3,1683,3,33,413670
2,2,1709,2,35,427264
5,2,1366,1,3,527348
1,1,3670,5,28,697496
4,1,971,10,22,572918
5,2,1278,5,34,585441
2,3,3243,5,15,758585
2,3,2593,4,7,668307
3,1,801,3,26,314898
5,1,2225,3,38,632400
3,2,688,2,11,342405
1,2,3084,5,43,630218
5,1,2767,4,3,774347
1,2,2803,6,46,624027
3,1,2596,2,24,601345
5,1,998,2,5,472106
3,3,2323,8,2,743536
5,1,787,6,38,469940
3,2,1675,3,23,511218
2,3,1251,5,20,466024
3,3,2154,3,5,614295
2,2,2103,2,32,476594
3,2,1186,3,7,457209
5,2,829,1,32,416390
5,1,1753,7,47,623105
5,3,654,6,2,546301
4,1,870,5,1,443005
1,1,1723,6,37,417559
5,1,3740,8,39,978927
2,1,3970,3,38,734580
5,3,1569,3,38,590757
4,3,2152,5,23,698113
2,1,1977,5,20,509617
4,2,1775,1,17,515903
2,3,2977,4,34,688855
3,1,715,9,10,453702
1,2,922,8,10,415440
1,2,3210,3,2,640883
4,1,2195,5,22,620268
1,3,2876,5,0,654053
4,2,959,7,22,526766
4,3,3676,8,21,969012
4,3,627,9,41,521709
1,2,1854,7,29,513786
4,1,2018,2,1,584940
1,2,3516,8,16,764821
4,2,2335,8,40,726249
5,3,2467,2,49,703363
4,1,1894,6,19,609571
2,3,2474,10,8,767955
4,2,3975,1,10,874184
3,1,2675,7,16,709819
4,1,2142,10,13,738553
2,1,1343,2,17,366116
2,1,3870,5,17,799519
1,1,3753,7,43,727946
5,2,1711,10,49,728087
4,2,2321,9,7,780921
1,2,2378,1,28,438831
5,3,1179,9,7,689149
4,1,3098,5,25,762728
3,1,1032,6,27,443942
4,2,973,8,7,573749
2,1,3082,2,19,627993
2,3,1810,7,46,570269
3,1,2374,4,7,593477
1,1,2641,9,13,646169
5,3,2865,6,12,884653
4,2,1731,7,39,612413
2,2,2442,6,16,615794
1,1,2173,8,25,532513
3,3,2530,6,5,743057
2,2,1547,7,16,525630
3,2,948,8,3,522633
4,2,1387,1,24,474044
5,1,2145,10,6,798832
2,3,625,4,16,345780
2,1,1671,6,21,472408
4,2,1458,1,27,456207
1,3,969,4,49,297513
5,1,3685,6,5,930675
2,2,2235,7,29,609467
5,2,1810,6,9,704168
2,1,2147,4,49,487105
5,2,1483,7,38,628845
3,2,2514,10,13,767594
2,3,878,2,45,325790
5,2,2988,6,41,855020
1,1,1951,5,21,470331
3,3,2302,2,40,577490
3,1,2257,9,25,662474
1,2,2528,7,9,614412
5,3,1206,3,1,591870
4,3,1648,7,2,668148
1,3,3176,6,47,702194
5,3,3073,7,41,904245
1,1,628,4,10,243254
1,2,1555,10,9,519877
2,2,922,8,11,460951
5,3,2476,8,13,844310
4,2,2960,7,29,812863
2,1,1183,7,40,412344
1,2,1893,10,12,580822
1,1,3409,8,29,735458
1,1,2942,1,37,496706
5,2,1255,6,10,593123
5,1,1385,2,0,522775
2,1,822,1,26,255971
4,1,2722,10,46,803529
2,1,2749,7,38,630451
3,3,3532,6,42,862173
1,2,2820,5,48,586661
1,3,1627,5,36,444232
1,1,2283,9,8,613054
2,2,3042,9,47,764476
2,1,2249,6,42,528189
1,2,1432,3,25,373676
2,3,1603,7,24,530904
5,2,766,4,16,496680
5,1,2947,5,5,811264
2,2,2616,7,14,682338
1,2,717,7,2,342964
2,3,3159,10,30,841638
2,1,3259,8,27,766543
2,2,2409,1,8,528807
3,3,3846,5,43,892762
5,2,2806,9,17,897917
4,1,2007,7,47,629704
4,2,1850,2,39,520476
3,2,3709,1,31,763486
2,2,1062,8,18,452221
3,2,2333,9,4,745262
3,1,2271,10,43,689359
1,3,2751,5,5,631094
5,3,1581,6,11,699676
4,2,3864,2,46,833078
2,1,2897,5,41,607929
4,1,1636,4,16,535896
4,1,3214,8,38,842968
5,1,2479,8,6,791133
4,1,1196,5,10,492580
4,1,1220,8,33,537205
3,2,3202,6,1,819426
5,3,2011,10,13,819287
1,3,670,6,17,356544
2,2,1555,4,47,432092
4,3,2403,10,42,811465
2,1,3620,3,8,729395
1,1,1037,9,38,374209
2,3,1667,5,3,544537
1,1,3943,10,47,830356
3,1,2525,10,13,736285
4,3,1637,4,10,612514
1,2,3783,6,29,781810
2,3,2002,4,39,526852
4,3,2961,6,42,796145
3,3,2038,10,26,723177
4,3,1084,8,28,595577
1,2,768,8,31,372040
